    nm         	nN
4.980454e+02	6.657950e+01
4.960922e+02	6.539185e+01
4.941391e+02	6.688829e+01
4.921860e+02	6.729208e+01
4.902328e+02	6.681703e+01
4.882797e+02	6.769589e+01
4.863265e+02	6.790966e+01
4.843734e+02	6.812344e+01
4.824203e+02	6.855100e+01
4.804671e+02	6.881228e+01
4.785140e+02	6.942985e+01
4.765609e+02	6.945361e+01
4.746078e+02	6.933485e+01
4.726546e+02	6.978615e+01
4.707015e+02	7.054624e+01
4.687484e+02	7.014244e+01
4.667953e+02	7.061750e+01
4.648422e+02	7.040372e+01
4.628891e+02	7.047498e+01
4.609360e+02	7.142510e+01
4.589829e+02	7.182890e+01
4.570298e+02	7.118757e+01
4.550766e+02	7.180515e+01
4.531235e+02	7.140135e+01
4.511704e+02	7.308781e+01
4.492173e+02	7.209018e+01
4.472642e+02	7.206643e+01
4.453111e+02	7.325408e+01
4.433580e+02	7.301654e+01
4.414049e+02	7.318282e+01
4.394518e+02	7.391916e+01
4.374986e+02	7.375289e+01
4.355455e+02	7.299279e+01
4.335924e+02	7.382415e+01
4.316393e+02	7.434671e+01
4.296862e+02	7.327783e+01
4.277331e+02	7.384790e+01
4.257800e+02	7.470300e+01
4.238269e+02	7.418044e+01
4.218738e+02	7.425170e+01
4.199206e+02	7.515432e+01
4.179675e+02	7.501180e+01
4.160144e+02	7.467926e+01
4.140613e+02	7.460800e+01
4.121082e+02	7.577189e+01
4.101551e+02	7.551061e+01
4.082020e+02	7.510680e+01
4.062489e+02	7.553436e+01
4.042957e+02	7.555811e+01
4.023426e+02	7.496428e+01
4.003895e+02	7.558187e+01
3.984364e+02	7.560562e+01
3.964833e+02	7.574814e+01
3.945302e+02	7.581939e+01
3.925771e+02	7.551061e+01
3.906240e+02	7.672201e+01
3.886709e+02	7.579564e+01
3.867177e+02	7.570063e+01
3.847646e+02	7.650823e+01
3.828115e+02	7.655574e+01
3.808584e+02	7.665074e+01
3.789053e+02	7.605692e+01
3.769522e+02	7.605692e+01
3.749991e+02	7.643697e+01
3.730460e+02	7.636572e+01
3.710929e+02	7.650823e+01
3.691397e+02	7.674576e+01
3.671866e+02	7.612819e+01
3.652335e+02	7.698329e+01
