    um         	nN
1.494143e+00	5.225647e+00
1.488283e+00	4.560565e+00
1.482424e+00	5.795718e+00
1.476565e+00	6.175765e+00
1.470705e+00	6.389542e+00
1.464846e+00	6.579565e+00
1.458986e+00	6.769589e+00
1.453127e+00	7.220895e+00
1.447267e+00	6.840847e+00
1.441408e+00	7.814719e+00
1.435549e+00	7.814719e+00
1.429689e+00	7.743459e+00
1.423830e+00	7.980989e+00
1.417970e+00	8.693577e+00
1.412111e+00	8.052248e+00
1.406251e+00	8.551059e+00
1.400392e+00	8.313530e+00
1.394533e+00	8.646071e+00
1.388673e+00	8.171012e+00
1.382814e+00	8.408542e+00
1.376954e+00	8.218518e+00
1.371095e+00	7.862225e+00
1.365236e+00	7.862225e+00
1.359376e+00	8.432295e+00
1.353517e+00	8.194766e+00
1.347657e+00	7.577189e+00
1.341798e+00	7.458424e+00
1.335938e+00	8.622318e+00
1.330079e+00	7.292154e+00
1.324220e+00	7.078377e+00
1.318360e+00	7.244648e+00
1.312501e+00	7.814719e+00
1.306641e+00	7.292154e+00
1.300782e+00	6.223271e+00
1.294923e+00	7.054624e+00
1.289063e+00	6.745836e+00
1.283204e+00	6.199518e+00
1.277344e+00	5.866977e+00
1.271485e+00	5.344412e+00
1.265625e+00	5.083130e+00
1.259766e+00	5.439424e+00
1.253907e+00	4.750589e+00
1.248047e+00	4.465553e+00
1.242188e+00	3.681706e+00
1.236328e+00	3.372918e+00
1.230469e+00	2.660330e+00
1.224609e+00	1.876483e+00
1.218750e+00	1.852730e+00
1.212891e+00	1.092635e+00
1.207031e+00	-1.662655e-01
1.201172e+00	-2.850266e-01
1.195312e+00	-8.075755e-01
1.189453e+00	-7.600710e-01
1.183594e+00	-2.874018e+00
1.177734e+00	-3.657842e+00
1.171875e+00	-5.581771e+00
1.166015e+00	-7.529454e+00
1.160156e+00	-9.833419e+00
1.154296e+00	-1.075975e+01
1.148437e+00	-1.170984e+01
1.142578e+00	-1.401381e+01
1.136718e+00	-2.106822e+01
1.130859e+00	-2.306340e+01
1.124999e+00	-2.524861e+01
1.119140e+00	-2.643622e+01
1.113281e+00	-2.776634e+01
1.107421e+00	-2.964277e+01
1.101562e+00	-3.121042e+01
1.095702e+00	-3.151919e+01
1.089843e+00	-3.242178e+01
1.083983e+00	-3.536705e+01
1.078124e+00	-3.669718e+01
1.072265e+00	-3.790854e+01
1.066405e+00	-3.916741e+01
1.060546e+00	-4.080631e+01
1.054686e+00	-4.182766e+01
1.048827e+00	-4.315778e+01
1.042967e+00	-4.558051e+01
1.037108e+00	-5.066348e+01
1.031249e+00	-5.417881e+01
1.025389e+00	-5.453509e+01
1.019530e+00	-5.679155e+01
1.013670e+00	-5.781290e+01
1.007811e+00	-5.852547e+01
1.001952e+00	-6.059191e+01
9.960921e-01	-6.268210e+01
9.902327e-01	-6.493857e+01
9.843733e-01	-6.710002e+01
9.785139e-01	-6.876267e+01
9.726544e-01	-7.223050e+01
9.667950e-01	-7.458197e+01
9.609356e-01	-7.531828e+01
9.550762e-01	-7.588834e+01
9.492168e-01	-7.612586e+01
9.433575e-01	-7.712345e+01
9.374981e-01	-8.004498e+01
9.316387e-01	-8.227769e+01
9.257794e-01	-8.572176e+01
9.199200e-01	-8.880954e+01
9.140606e-01	-8.942710e+01
9.082013e-01	-9.066222e+01
9.023419e-01	-9.263365e+01
8.964826e-01	-9.192109e+01
8.906232e-01	-9.094725e+01
8.847638e-01	-9.315620e+01
8.789045e-01	-9.334622e+01
8.730451e-01	-9.056721e+01
8.671857e-01	-7.199297e+01
8.613264e-01	-6.448727e+01
8.554670e-01	-6.099570e+01
8.496077e-01	-5.726660e+01
8.437483e-01	-5.066348e+01
8.378889e-01	-4.833576e+01
8.320296e-01	-4.788447e+01
8.261702e-01	-4.788447e+01
8.203108e-01	-4.833576e+01
8.144515e-01	-5.030720e+01
8.085921e-01	-5.213612e+01
8.027328e-01	-4.983215e+01
7.968734e-01	-4.904833e+01
7.910140e-01	-4.835952e+01
7.851547e-01	-4.890582e+01
7.792953e-01	-4.911959e+01
7.734359e-01	-5.056847e+01
7.675766e-01	-5.042596e+01
7.617172e-01	-4.990341e+01
7.558579e-01	-4.610306e+01
7.499985e-01	-2.902521e+01
7.441391e-01	-2.173328e+01
