    um         	uN
0.000000e+00	1.457083e+00
7.812500e-03	1.459848e+00
1.562500e-02	1.462613e+00
2.343750e-02	1.468142e+00
3.125000e-02	1.468142e+00
3.906250e-02	1.470907e+00
4.687500e-02	1.473672e+00
5.468750e-02	1.476437e+00
6.250000e-02	1.479202e+00
7.031250e-02	1.484731e+00
7.812501e-02	1.484731e+00
8.593751e-02	1.490261e+00
9.375001e-02	1.493026e+00
1.015625e-01	1.495791e+00
1.093750e-01	1.498556e+00
1.171875e-01	1.501321e+00
1.250000e-01	1.506850e+00
1.328125e-01	1.509615e+00
1.406250e-01	1.512380e+00
1.484375e-01	1.512380e+00
1.562500e-01	1.515145e+00
1.640625e-01	1.520675e+00
1.718750e-01	1.523440e+00
1.796875e-01	1.526205e+00
1.875000e-01	1.531734e+00
1.953125e-01	1.537264e+00
2.031250e-01	1.545559e+00
2.109375e-01	1.548323e+00
2.187500e-01	1.553853e+00
2.265625e-01	1.559383e+00
2.343751e-01	1.562148e+00
2.421876e-01	1.564913e+00
2.500001e-01	1.570442e+00
2.578126e-01	1.573207e+00
2.656251e-01	1.575972e+00
2.734376e-01	1.581502e+00
2.812501e-01	1.581502e+00
2.890626e-01	1.584267e+00
2.968751e-01	1.587031e+00
3.046876e-01	1.592561e+00
3.125001e-01	1.595326e+00
3.203126e-01	1.598091e+00
3.281251e-01	1.598091e+00
3.359376e-01	1.600856e+00
3.437501e-01	1.606385e+00
3.515626e-01	1.611915e+00
3.593751e-01	1.611915e+00
3.671876e-01	1.614680e+00
3.750001e-01	1.617445e+00
3.828126e-01	1.620210e+00
3.906251e-01	1.625740e+00
3.984376e-01	1.628504e+00
4.062501e-01	1.631269e+00
4.140626e-01	1.634034e+00
4.218751e-01	1.636799e+00
4.296876e-01	1.639564e+00
4.375001e-01	1.645094e+00
4.453126e-01	1.645094e+00
4.531251e-01	1.650623e+00
4.609376e-01	1.653388e+00
4.687501e-01	1.656153e+00
4.765626e-01	1.658918e+00
4.843751e-01	1.661683e+00
4.921876e-01	1.667213e+00
5.000001e-01	1.669977e+00
5.078126e-01	1.675507e+00
5.156251e-01	1.678272e+00
5.234376e-01	1.681037e+00
5.312501e-01	1.681037e+00
5.390626e-01	1.683802e+00
5.468751e-01	1.686567e+00
5.546876e-01	1.692096e+00
5.625001e-01	1.692096e+00
5.703126e-01	1.697626e+00
5.781251e-01	1.700391e+00
5.859376e-01	1.703156e+00
5.937501e-01	1.705920e+00
6.015626e-01	1.705920e+00
6.093751e-01	1.708685e+00
6.171877e-01	1.711450e+00
6.250002e-01	1.716980e+00
6.328127e-01	1.716980e+00
6.406252e-01	1.722510e+00
6.484377e-01	1.725275e+00
6.562502e-01	1.728039e+00
6.640627e-01	1.730804e+00
6.718752e-01	1.736334e+00
6.796877e-01	1.739099e+00
6.875002e-01	1.741864e+00
6.953127e-01	1.744629e+00
7.031252e-01	1.744629e+00
7.109377e-01	1.747394e+00
7.187502e-01	1.750158e+00
7.265627e-01	1.758453e+00
7.343752e-01	1.758453e+00
7.421877e-01	1.761218e+00
7.500002e-01	1.766748e+00
7.578127e-01	1.769512e+00
