    nm         	uN
1.367188e+01	5.618202e+00
1.562500e+01	5.620967e+00
1.757813e+01	5.620967e+00
1.953125e+01	5.626497e+00
2.148438e+01	5.626497e+00
2.343750e+01	5.623731e+00
2.539063e+01	5.626497e+00
2.734375e+01	5.623731e+00
2.929688e+01	5.623731e+00
3.125000e+01	5.623731e+00
3.320313e+01	5.623731e+00
3.515625e+01	5.626497e+00
3.710938e+01	5.632026e+00
3.906251e+01	5.623731e+00
4.101563e+01	5.626497e+00
4.296876e+01	5.634791e+00
4.492188e+01	5.629262e+00
4.687501e+01	5.632026e+00
4.882813e+01	5.629262e+00
5.078126e+01	5.634791e+00
5.273439e+01	5.634791e+00
5.468751e+01	5.643086e+00
5.664064e+01	5.640321e+00
5.859376e+01	5.640321e+00
6.054689e+01	5.643086e+00
6.250001e+01	5.648616e+00
6.445314e+01	5.648616e+00
6.640627e+01	5.648616e+00
6.835939e+01	5.645850e+00
7.031252e+01	5.648616e+00
7.226564e+01	5.648616e+00
7.421877e+01	5.651380e+00
7.617189e+01	5.654145e+00
7.812502e+01	5.648616e+00
8.007815e+01	5.651380e+00
8.203127e+01	5.656910e+00
8.398440e+01	5.656910e+00
8.593752e+01	5.656910e+00
8.789065e+01	5.656910e+00
8.984377e+01	5.667969e+00
9.179690e+01	5.659675e+00
9.375002e+01	5.662440e+00
9.570315e+01	5.662440e+00
9.765628e+01	5.665205e+00
9.960940e+01	5.662440e+00
1.015625e+02	5.665205e+00
1.035157e+02	5.667969e+00
1.054688e+02	5.667969e+00
1.074219e+02	5.667969e+00
1.093750e+02	5.670734e+00
1.113282e+02	5.676264e+00
1.132813e+02	5.673499e+00
1.152344e+02	5.676264e+00
1.171875e+02	5.679029e+00
1.191407e+02	5.684559e+00
1.210938e+02	5.684559e+00
1.230469e+02	5.687324e+00
1.250000e+02	5.684559e+00
1.269532e+02	5.687324e+00
1.289063e+02	5.692853e+00
1.308594e+02	5.690088e+00
1.328125e+02	5.692853e+00
1.347657e+02	5.698383e+00
1.367188e+02	5.695618e+00
1.386719e+02	5.701148e+00
1.406250e+02	5.703913e+00
1.425782e+02	5.706678e+00
1.445313e+02	5.706678e+00
1.464844e+02	5.703913e+00
1.484375e+02	5.709443e+00
1.503907e+02	5.712207e+00
1.523438e+02	5.709443e+00
1.542969e+02	5.712207e+00
1.562500e+02	5.717737e+00
1.582032e+02	5.720502e+00
1.601563e+02	5.717737e+00
1.621094e+02	5.720502e+00
1.640625e+02	5.726032e+00
1.660157e+02	5.723267e+00
1.679688e+02	5.726032e+00
1.699219e+02	5.731561e+00
1.718750e+02	5.731561e+00
1.738282e+02	5.731561e+00
1.757813e+02	5.734326e+00
1.777344e+02	5.739856e+00
1.796875e+02	5.739856e+00
1.816407e+02	5.739856e+00
1.835938e+02	5.748151e+00
1.855469e+02	5.748151e+00
1.875000e+02	5.745386e+00
1.894532e+02	5.750916e+00
1.914063e+02	5.753680e+00
1.933594e+02	5.750916e+00
1.953126e+02	5.750916e+00
1.972657e+02	5.759210e+00
1.992188e+02	5.759210e+00
2.011719e+02	5.759210e+00
2.031251e+02	5.759210e+00
2.050782e+02	5.761975e+00
2.070313e+02	5.767505e+00
2.089844e+02	5.767505e+00
2.109376e+02	5.770270e+00
2.128907e+02	5.775799e+00
2.148438e+02	5.775799e+00
2.167969e+02	5.773034e+00
2.187501e+02	5.778564e+00
2.207032e+02	5.781329e+00
2.226563e+02	5.778564e+00
2.246094e+02	5.789624e+00
2.265626e+02	5.789624e+00
2.285157e+02	5.784094e+00
2.304688e+02	5.789624e+00
2.324219e+02	5.795153e+00
2.343751e+02	5.797918e+00
2.363282e+02	5.800683e+00
2.382813e+02	5.803447e+00
2.402344e+02	5.803447e+00
2.421876e+02	5.808978e+00
2.441407e+02	5.814507e+00
2.460938e+02	5.811743e+00
2.480469e+02	5.814507e+00
2.500000e+02	5.822802e+00
2.519531e+02	5.817272e+00
2.539062e+02	5.822802e+00
2.558593e+02	5.822802e+00
2.578124e+02	5.822802e+00
2.597656e+02	5.825566e+00
2.617187e+02	5.822802e+00
2.636718e+02	5.831097e+00
2.656249e+02	5.831097e+00
2.675780e+02	5.831097e+00
2.695311e+02	5.831097e+00
