    nm         	nN
0.000000e+00	-2.665536e+02
3.906250e-01	-2.665536e+02
7.812500e-01	-2.665536e+02
1.171875e+00	-2.665536e+02
1.562500e+00	-2.665536e+02
1.953125e+00	-2.704735e+02
2.343750e+00	-2.704735e+02
2.734375e+00	-2.665536e+02
3.124999e+00	-2.665536e+02
3.515624e+00	-2.626337e+02
3.906249e+00	-2.626337e+02
4.296874e+00	-2.626337e+02
4.687499e+00	-2.665536e+02
5.078124e+00	-2.665536e+02
5.468749e+00	-2.665536e+02
5.859373e+00	-2.665536e+02
6.249998e+00	-2.665536e+02
6.640623e+00	-2.626337e+02
7.031248e+00	-2.626337e+02
7.421873e+00	-2.626337e+02
7.812498e+00	-2.626337e+02
8.203124e+00	-2.587138e+02
8.593749e+00	-2.587138e+02
8.984374e+00	-2.626337e+02
9.374999e+00	-2.626337e+02
9.765625e+00	-2.626337e+02
1.015625e+01	-2.626337e+02
1.054688e+01	-2.626337e+02
1.093750e+01	-2.626337e+02
1.132813e+01	-2.626337e+02
1.171875e+01	-2.587138e+02
1.210938e+01	-2.587138e+02
1.250000e+01	-2.587138e+02
1.289063e+01	-2.587138e+02
1.328125e+01	-2.626337e+02
1.367188e+01	-2.626337e+02
1.406250e+01	-2.626337e+02
1.445313e+01	-2.626337e+02
1.484375e+01	-2.587138e+02
1.523438e+01	-2.587138e+02
1.562500e+01	-2.626337e+02
1.601563e+01	-2.587138e+02
1.640625e+01	-2.587138e+02
1.679688e+01	-2.587138e+02
1.718750e+01	-2.587138e+02
1.757813e+01	-2.587138e+02
1.796875e+01	-2.587138e+02
1.835937e+01	-2.587138e+02
1.875000e+01	-2.587138e+02
1.914062e+01	-2.587138e+02
1.953125e+01	-2.547939e+02
1.992187e+01	-2.547939e+02
2.031250e+01	-2.547939e+02
2.070312e+01	-2.587138e+02
2.109375e+01	-2.587138e+02
2.148437e+01	-2.587138e+02
2.187499e+01	-2.587138e+02
2.226562e+01	-2.587138e+02
2.265624e+01	-2.587138e+02
2.304687e+01	-2.547939e+02
2.343749e+01	-2.547939e+02
2.382812e+01	-2.547939e+02
2.421874e+01	-2.508740e+02
2.460937e+01	-2.469541e+02
2.499999e+01	-2.547939e+02
2.539061e+01	-2.547939e+02
2.578124e+01	-2.547939e+02
2.617186e+01	-2.547939e+02
2.656249e+01	-2.547939e+02
2.695311e+01	-2.547939e+02
2.734374e+01	-2.508740e+02
2.773436e+01	-2.508740e+02
2.812499e+01	-2.508740e+02
2.851561e+01	-2.508740e+02
2.890623e+01	-2.547939e+02
2.929686e+01	-2.547939e+02
2.968748e+01	-2.508740e+02
3.007811e+01	-2.508740e+02
3.046873e+01	-2.547939e+02
3.085936e+01	-2.469541e+02
3.124998e+01	-2.469541e+02
3.164061e+01	-2.469541e+02
3.203123e+01	-2.469541e+02
3.242186e+01	-2.469541e+02
3.281248e+01	-2.469541e+02
3.320310e+01	-2.469541e+02
3.359373e+01	-2.469541e+02
3.398435e+01	-2.469541e+02
3.437498e+01	-2.469541e+02
3.476560e+01	-2.469541e+02
3.515623e+01	-2.430342e+02
3.554685e+01	-2.469541e+02
3.593748e+01	-2.430342e+02
3.632810e+01	-2.430342e+02
3.671872e+01	-2.430342e+02
3.710935e+01	-2.430342e+02
3.749997e+01	-2.469541e+02
3.789060e+01	-2.469541e+02
3.828122e+01	-2.469541e+02
3.867185e+01	-2.508740e+02
3.906247e+01	-2.508740e+02
3.945310e+01	-2.508740e+02
3.984372e+01	-2.508740e+02
4.023434e+01	-2.508740e+02
4.062497e+01	-2.469541e+02
4.101559e+01	-2.469541e+02
4.140622e+01	-2.508740e+02
4.179684e+01	-2.547939e+02
4.218747e+01	-2.508740e+02
4.257809e+01	-2.508740e+02
4.296871e+01	-2.508740e+02
4.335934e+01	-2.508740e+02
4.374996e+01	-2.508740e+02
4.414059e+01	-2.508740e+02
4.453121e+01	-2.508740e+02
4.492184e+01	-2.508740e+02
4.531246e+01	-2.508740e+02
4.570309e+01	-2.508740e+02
4.609371e+01	-2.508740e+02
4.648433e+01	-2.508740e+02
4.687496e+01	-2.508740e+02
4.726558e+01	-2.469541e+02
4.765621e+01	-2.508740e+02
4.804683e+01	-2.469541e+02
4.843746e+01	-2.469541e+02
4.882808e+01	-2.469541e+02
4.921871e+01	-2.469541e+02
4.960933e+01	-2.469541e+02
4.999995e+01	-2.469541e+02
5.039058e+01	-2.469541e+02
5.078120e+01	-2.469541e+02
5.117183e+01	-2.469541e+02
5.156245e+01	-2.430342e+02
5.195308e+01	-2.430342e+02
5.234370e+01	-2.430342e+02
5.273433e+01	-2.430342e+02
5.312495e+01	-2.430342e+02
5.351557e+01	-2.430342e+02
5.390620e+01	-2.430342e+02
5.429682e+01	-2.469541e+02
5.468745e+01	-2.430342e+02
5.507807e+01	-2.430342e+02
5.546870e+01	-2.469541e+02
5.585932e+01	-2.430342e+02
5.624995e+01	-2.430342e+02
