    um         	uN
1.562500e-02	3.700504e+00
2.343750e-02	3.716184e+00
3.125000e-02	3.712265e+00
3.906250e-02	3.716184e+00
4.687500e-02	3.708344e+00
5.468750e-02	3.704424e+00
6.250000e-02	3.708344e+00
7.031250e-02	3.704424e+00
7.812501e-02	3.708344e+00
8.593751e-02	3.704424e+00
9.375001e-02	3.696584e+00
1.015625e-01	3.700504e+00
1.093750e-01	3.704424e+00
1.171875e-01	3.692664e+00
1.250000e-01	3.696584e+00
1.328125e-01	3.700504e+00
1.406250e-01	3.692664e+00
1.484375e-01	3.700504e+00
1.562500e-01	3.704424e+00
1.640625e-01	3.708344e+00
1.718750e-01	3.696584e+00
1.796875e-01	3.708344e+00
1.875000e-01	3.712265e+00
1.953125e-01	3.716184e+00
2.031250e-01	3.720104e+00
2.109375e-01	3.727945e+00
2.187500e-01	3.727945e+00
2.265625e-01	3.735785e+00
2.343751e-01	3.739705e+00
2.421876e-01	3.747545e+00
2.500001e-01	3.747545e+00
2.578126e-01	3.751465e+00
2.656251e-01	3.755385e+00
2.734376e-01	3.763225e+00
2.812501e-01	3.767145e+00
2.890626e-01	3.782825e+00
2.968751e-01	3.790665e+00
3.046876e-01	3.794585e+00
3.125001e-01	3.802425e+00
3.203126e-01	3.810265e+00
3.281251e-01	3.818105e+00
3.359376e-01	3.825945e+00
3.437501e-01	3.822025e+00
3.515626e-01	3.845545e+00
3.593751e-01	3.849465e+00
3.671876e-01	3.861225e+00
3.750001e-01	3.869065e+00
3.828126e-01	3.880826e+00
3.906251e-01	3.888666e+00
3.984376e-01	3.900426e+00
4.062501e-01	3.908266e+00
4.140626e-01	3.916106e+00
4.218751e-01	3.927866e+00
4.296876e-01	3.943546e+00
4.375001e-01	3.951386e+00
4.453126e-01	3.959226e+00
4.531251e-01	3.974906e+00
4.609376e-01	3.986666e+00
4.687501e-01	4.002346e+00
4.765626e-01	4.021946e+00
4.843751e-01	4.025866e+00
4.921876e-01	4.037627e+00
5.000001e-01	4.053306e+00
5.078126e-01	4.068987e+00
5.156251e-01	4.080747e+00
5.234376e-01	4.100347e+00
5.312501e-01	4.112107e+00
5.390626e-01	4.119947e+00
5.468751e-01	4.131708e+00
5.546876e-01	4.143467e+00
5.625001e-01	4.166987e+00
5.703126e-01	4.182667e+00
5.781251e-01	4.190507e+00
5.859376e-01	4.206187e+00
5.937501e-01	4.217948e+00
6.015626e-01	4.225788e+00
6.093751e-01	4.237548e+00
6.171877e-01	4.261068e+00
6.250002e-01	4.264988e+00
6.328127e-01	4.292428e+00
6.406252e-01	4.300268e+00
6.484377e-01	4.323789e+00
6.562502e-01	4.339468e+00
6.640627e-01	4.351229e+00
6.718752e-01	4.366908e+00
6.796877e-01	4.386509e+00
6.875002e-01	4.398269e+00
6.953127e-01	4.417869e+00
