    um         	uN
8.964837e+00	8.654022e-01
8.929680e+00	8.681670e-01
8.894523e+00	9.013454e-01
8.859367e+00	9.206994e-01
8.824210e+00	9.400535e-01
8.789054e+00	9.594075e-01
8.753897e+00	9.732319e-01
8.718741e+00	9.925859e-01
8.683584e+00	1.011940e+00
8.648428e+00	1.031294e+00
8.613271e+00	1.050648e+00
8.578115e+00	1.067237e+00
8.542958e+00	1.086591e+00
8.507802e+00	1.105945e+00
8.472645e+00	1.122534e+00
8.437489e+00	1.141888e+00
8.402332e+00	1.158478e+00
8.367176e+00	1.172302e+00
8.332019e+00	1.188891e+00
8.296863e+00	1.202715e+00
8.261706e+00	1.222069e+00
8.226550e+00	1.235894e+00
8.191393e+00	1.249718e+00
8.156237e+00	1.263542e+00
8.121080e+00	1.280132e+00
8.085924e+00	1.291191e+00
8.050767e+00	1.307780e+00
8.015611e+00	1.316075e+00
7.980454e+00	1.327134e+00
7.945298e+00	1.340959e+00
7.910141e+00	1.346488e+00
7.874984e+00	1.354783e+00
7.839828e+00	1.363078e+00
7.804671e+00	1.368607e+00
7.769515e+00	1.376902e+00
7.734358e+00	1.379667e+00
7.699202e+00	1.382432e+00
7.664045e+00	1.382432e+00
7.628889e+00	1.379667e+00
7.593733e+00	1.374137e+00
7.558577e+00	1.371372e+00
7.523421e+00	1.363078e+00
7.488265e+00	1.352018e+00
7.453109e+00	1.338194e+00
7.417953e+00	1.327134e+00
7.382797e+00	1.321605e+00
7.347641e+00	1.305015e+00
7.312485e+00	1.285661e+00
7.277329e+00	1.266307e+00
7.242173e+00	1.249718e+00
7.207017e+00	1.233129e+00
7.171860e+00	1.208245e+00
7.136704e+00	1.161242e+00
7.101548e+00	1.122534e+00
7.066392e+00	1.094886e+00
7.031236e+00	1.070002e+00
6.996080e+00	1.045118e+00
6.960924e+00	1.017470e+00
6.925768e+00	9.870562e-01
6.890612e+00	9.649373e-01
6.855456e+00	9.428184e-01
6.820300e+00	8.764616e-01
6.785144e+00	7.935157e-01
6.749988e+00	7.243942e-01
6.714832e+00	6.995104e-01
6.679676e+00	6.773915e-01
6.644520e+00	6.525077e-01
6.609363e+00	6.497428e-01
6.574207e+00	6.469780e-01
6.539051e+00	6.414483e-01
6.503895e+00	6.386834e-01
6.468739e+00	6.359185e-01
6.433583e+00	6.331537e-01
6.398427e+00	6.276239e-01
6.363271e+00	6.220942e-01
6.328115e+00	6.165645e-01
6.292959e+00	6.110347e-01
6.257803e+00	6.027402e-01
6.222647e+00	5.972104e-01
6.187491e+00	5.861510e-01
6.152335e+00	5.778564e-01
6.117179e+00	5.723267e-01
6.082023e+00	5.667969e-01
6.046866e+00	5.612672e-01
6.011710e+00	5.585023e-01
5.976554e+00	5.557375e-01
5.941398e+00	5.474429e-01
5.906242e+00	5.391483e-01
5.871086e+00	5.280889e-01
5.835930e+00	5.225592e-01
5.800774e+00	5.142646e-01
5.765618e+00	5.114997e-01
5.730462e+00	4.893808e-01
5.695306e+00	4.727916e-01
5.660150e+00	4.700267e-01
5.624994e+00	4.644970e-01
5.589838e+00	4.617322e-01
5.554682e+00	4.562024e-01
5.519526e+00	4.479078e-01
5.484369e+00	4.396132e-01
5.449213e+00	4.313187e-01
5.414057e+00	4.285538e-01
5.378901e+00	4.285538e-01
5.343745e+00	4.257889e-01
5.308589e+00	4.174943e-01
5.273433e+00	4.009052e-01
5.238277e+00	3.898457e-01
5.203121e+00	3.843160e-01
5.167965e+00	3.732565e-01
5.132809e+00	3.594322e-01
5.097653e+00	3.456079e-01
5.062497e+00	3.373133e-01
5.027341e+00	3.262539e-01
4.992185e+00	3.151944e-01
4.957029e+00	3.068998e-01
4.921872e+00	2.958404e-01
4.886716e+00	2.820160e-01
4.851560e+00	2.654269e-01
4.816404e+00	2.488377e-01
4.781248e+00	2.322485e-01
4.746092e+00	2.211891e-01
4.710936e+00	2.128945e-01
4.675780e+00	2.073647e-01
4.640624e+00	1.990701e-01
4.605468e+00	1.880107e-01
4.570312e+00	1.797161e-01
4.535156e+00	1.741864e-01
4.500000e+00	1.658918e-01
4.464844e+00	1.520675e-01
4.429688e+00	1.410080e-01
4.394532e+00	1.244188e-01
4.359375e+00	1.078297e-01
4.324219e+00	9.400535e-02
4.289063e+00	8.294590e-02
4.253907e+00	7.188644e-02
4.218751e+00	6.082699e-02
4.183595e+00	4.423781e-02
4.148439e+00	3.594322e-02
4.113283e+00	2.211891e-02
4.078127e+00	8.294590e-03
4.042971e+00	-2.764779e-03
4.007815e+00	-8.294337e-03
3.972659e+00	-1.658867e-02
3.937503e+00	-2.211823e-02
3.902347e+00	-3.041257e-02
3.867191e+00	-3.870690e-02
3.832035e+00	-4.700124e-02
3.796878e+00	-5.529558e-02
3.761722e+00	-6.082514e-02
3.726566e+00	-7.188425e-02
3.691409e+00	-8.294337e-02
3.656253e+00	-9.123770e-02
3.621097e+00	8.847562e-02
3.585940e+00	2.681917e-01
3.550784e+00	2.598971e-01
3.515628e+00	2.488377e-01
3.480472e+00	2.405431e-01
3.445315e+00	2.322485e-01
3.410159e+00	2.239539e-01
3.375003e+00	2.128945e-01
3.339846e+00	2.045999e-01
3.304690e+00	1.935404e-01
3.269534e+00	1.852458e-01
3.234378e+00	1.714215e-01
3.199221e+00	1.631269e-01
3.164065e+00	1.520675e-01
3.128909e+00	1.410080e-01
3.093752e+00	1.327134e-01
3.058596e+00	1.216540e-01
