    nm         	uN
9.960909e+02	6.334301e+00
9.921846e+02	6.328772e+00
9.882783e+02	6.331536e+00
9.843720e+02	6.334301e+00
9.804658e+02	6.331536e+00
9.765595e+02	6.328772e+00
9.726532e+02	6.331536e+00
9.687469e+02	6.328772e+00
9.648406e+02	6.334301e+00
9.609344e+02	6.328772e+00
9.570281e+02	6.331536e+00
9.531219e+02	6.323242e+00
9.492156e+02	6.320477e+00
9.453094e+02	6.326007e+00
9.414032e+02	6.317713e+00
9.374970e+02	6.317713e+00
9.335907e+02	6.317713e+00
9.296845e+02	6.306653e+00
9.257783e+02	6.309418e+00
9.218721e+02	6.309418e+00
9.179658e+02	6.306653e+00
9.140596e+02	6.303888e+00
9.101534e+02	6.301123e+00
9.062472e+02	6.292828e+00
9.023410e+02	6.295594e+00
8.984347e+02	6.292828e+00
8.945285e+02	6.292828e+00
8.906223e+02	6.290064e+00
8.867161e+02	6.284534e+00
8.828098e+02	6.276240e+00
8.789036e+02	6.276240e+00
8.749974e+02	6.267945e+00
8.710912e+02	6.270710e+00
8.671850e+02	6.265180e+00
8.632787e+02	6.256886e+00
8.593725e+02	6.259650e+00
8.554663e+02	6.259650e+00
8.515601e+02	6.248591e+00
8.476538e+02	6.248591e+00
8.437476e+02	6.248591e+00
8.398414e+02	6.243061e+00
8.359352e+02	6.240296e+00
8.320289e+02	6.232002e+00
8.281227e+02	6.229237e+00
8.242165e+02	6.223707e+00
8.203103e+02	6.218177e+00
8.164041e+02	6.218177e+00
8.124978e+02	6.209883e+00
8.085916e+02	6.209883e+00
8.046854e+02	6.193293e+00
8.007792e+02	6.193293e+00
7.968729e+02	6.193293e+00
7.929667e+02	6.187764e+00
7.890605e+02	6.187764e+00
7.851543e+02	6.182234e+00
7.812480e+02	6.179469e+00
7.773418e+02	6.173939e+00
7.734356e+02	6.162880e+00
7.695294e+02	6.160115e+00
7.656232e+02	6.162880e+00
7.617169e+02	6.157350e+00
7.578107e+02	6.151820e+00
7.539045e+02	6.143526e+00
7.499983e+02	6.143526e+00
7.460920e+02	6.135231e+00
7.421858e+02	6.132466e+00
7.382796e+02	6.126937e+00
7.343734e+02	6.124172e+00
7.304671e+02	6.121407e+00
7.265609e+02	6.110347e+00
7.226547e+02	6.115877e+00
7.187485e+02	6.102053e+00
7.148423e+02	6.096524e+00
7.109360e+02	6.093759e+00
7.070298e+02	6.093759e+00
7.031236e+02	6.090993e+00
6.992174e+02	6.082699e+00
6.953111e+02	6.074405e+00
6.914049e+02	6.077169e+00
6.874987e+02	6.071639e+00
6.835925e+02	6.066110e+00
6.796863e+02	6.060580e+00
6.757800e+02	6.057815e+00
6.718738e+02	6.055051e+00
6.679676e+02	6.046756e+00
6.640614e+02	6.052286e+00
6.601551e+02	6.043991e+00
6.562489e+02	6.035697e+00
6.523427e+02	6.032932e+00
6.484365e+02	6.030167e+00
6.445302e+02	6.021872e+00
6.406240e+02	6.016342e+00
6.367178e+02	6.016342e+00
6.328116e+02	6.010813e+00
6.289054e+02	6.005283e+00
6.249991e+02	6.008048e+00
6.210929e+02	5.999753e+00
6.171867e+02	5.988694e+00
6.132805e+02	5.996988e+00
6.093742e+02	5.985929e+00
6.054680e+02	5.977634e+00
6.015618e+02	5.969340e+00
5.976556e+02	5.974869e+00
5.937493e+02	5.966575e+00
5.898431e+02	5.963810e+00
5.859369e+02	5.961045e+00
5.820307e+02	5.955515e+00
5.781245e+02	5.952750e+00
5.742182e+02	5.944456e+00
5.703120e+02	5.938926e+00
5.664058e+02	5.936161e+00
5.624996e+02	5.936161e+00
5.585933e+02	5.927867e+00
5.546871e+02	5.922337e+00
5.507809e+02	5.922337e+00
5.468747e+02	5.919572e+00
5.429685e+02	5.914042e+00
5.390622e+02	5.905748e+00
5.351560e+02	5.908512e+00
5.312498e+02	5.900218e+00
5.273436e+02	5.889158e+00
5.234373e+02	5.894688e+00
5.195311e+02	5.886393e+00
5.156249e+02	5.883629e+00
5.117187e+02	5.872570e+00
5.078124e+02	5.875334e+00
5.039062e+02	5.872570e+00
5.000000e+02	5.864274e+00
4.960938e+02	5.855980e+00
4.921876e+02	5.858745e+00
4.882813e+02	5.855980e+00
4.843751e+02	5.847685e+00
4.804689e+02	5.842156e+00
4.765626e+02	5.842156e+00
4.726564e+02	5.833861e+00
4.687501e+02	5.828332e+00
4.648439e+02	5.828332e+00
4.609376e+02	5.817272e+00
4.570314e+02	5.820037e+00
4.531251e+02	5.820037e+00
4.492189e+02	5.808978e+00
4.453126e+02	5.806212e+00
4.414064e+02	5.800683e+00
4.375001e+02	5.797918e+00
4.335939e+02	5.789624e+00
4.296876e+02	5.784094e+00
4.257814e+02	5.781329e+00
4.218751e+02	5.778564e+00
4.179689e+02	5.775799e+00
4.140626e+02	5.773034e+00
4.101564e+02	5.767505e+00
4.062501e+02	5.764740e+00
4.023439e+02	5.756445e+00
3.984376e+02	5.756445e+00
3.945314e+02	5.753680e+00
3.906251e+02	5.748151e+00
3.867189e+02	5.742621e+00
3.828126e+02	5.742621e+00
3.789063e+02	5.734326e+00
3.750001e+02	5.726032e+00
3.710938e+02	5.726032e+00
3.671876e+02	5.720502e+00
3.632813e+02	5.717737e+00
3.593751e+02	5.712207e+00
3.554688e+02	5.712207e+00
3.515626e+02	5.703913e+00
3.476563e+02	5.698383e+00
3.437501e+02	5.701148e+00
3.398438e+02	5.692853e+00
3.359376e+02	5.690088e+00
3.320313e+02	5.684559e+00
3.281251e+02	5.681794e+00
3.242188e+02	5.676264e+00
3.203126e+02	5.673499e+00
3.164063e+02	5.670734e+00
3.125001e+02	5.670734e+00
3.085938e+02	5.662440e+00
3.046876e+02	5.662440e+00
3.007813e+02	5.662440e+00
2.968751e+02	5.654145e+00
2.929688e+02	5.648616e+00
2.890626e+02	5.651380e+00
2.851563e+02	5.643086e+00
2.812501e+02	5.643086e+00
2.773438e+02	5.632026e+00
2.734376e+02	5.632026e+00
2.695313e+02	5.623731e+00
2.656251e+02	5.623731e+00
2.617188e+02	5.620967e+00
2.578126e+02	5.618202e+00
2.539063e+02	5.612672e+00
2.500001e+02	5.607143e+00
2.460938e+02	5.601612e+00
2.421876e+02	5.596083e+00
2.382813e+02	5.590553e+00
2.343751e+02	5.590553e+00
2.304688e+02	5.585024e+00
2.265625e+02	5.579494e+00
2.226563e+02	5.582259e+00
2.187500e+02	5.571199e+00
2.148438e+02	5.568435e+00
2.109375e+02	5.562905e+00
2.070313e+02	5.562905e+00
2.031250e+02	5.557375e+00
1.992188e+02	5.551845e+00
1.953125e+02	5.549080e+00
1.914063e+02	5.546316e+00
1.875000e+02	5.540786e+00
1.835938e+02	5.538021e+00
1.796875e+02	5.540786e+00
1.757813e+02	5.532491e+00
1.718750e+02	5.521432e+00
1.679688e+02	5.526962e+00
1.640625e+02	5.526962e+00
1.601563e+02	5.515902e+00
1.562500e+02	5.510372e+00
1.523438e+02	5.513137e+00
1.484375e+02	5.504843e+00
1.445313e+02	5.496548e+00
1.406250e+02	5.493783e+00
