fit_points,fit_delta_max_nm,fit_force_max_nN,low_stiffness_N_m,low_stiffness_r2,high_stiffness_N_m,high_stiffness_r2,stiffening_ratio,power_law_A,power_law_n,power_law_r2,membrane_k1_N_m,membrane_k3_nN_per_nm3,membrane_r2,curve_id,date,file,group,sample,linker,surfactant,displacement_nm,setpoint,raw_max_indentation_nm,raw_max_force_nN,n_slip_events,n_terminal_cliffs,rupture_idx,max_cumulative_offset_nN,model_scope
98,191.40301032994714,16.98393980172102,0.05226648731167305,0.7076591428070029,0.051411466380980916,0.718257839456323,0.9836411250368996,0.2340642378065389,0.7968859983942707,0.8903259846470235,0.0975516948092294,-1.9818502486522013e-07,0.9652479421560171,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,191.4030103299471,16.98393980172102,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
224,914.0418293684146,124.60442109774488,0.010814916188096576,0.7037163899297084,0.2254506214369728,0.9953251199124249,20.846266167565382,5.3106694482286514e-05,2.0891982190815686,0.8441938990685316,0.012809119274099787,1.6278651846130186e-07,0.9779978093157622,20260415::linker2-paa-.1000nm.spm - NanoScope Analysis.txt,20260415,linker2-paa-.1000nm.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,1000.0,,914.0418293684146,124.60442109774488,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
187,738.2649393383833,93.52463131688626,0.02395675068933441,0.8878901030957911,0.2595737429425018,0.9982298769124829,10.835098061026468,0.002857724542138611,1.4744655588880213,0.8504968711085705,0.0036885431231114354,2.4226026767563553e-07,0.9918351020686773,20260415::linker2-paa-1000nm-2.spm - NanoScope Analysis.txt,20260415,linker2-paa-1000nm-2.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,1000.0,,738.2649393383833,93.52463131688626,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
206,410.14362394217477,78.16240477655394,0.11768750720785769,0.9664624907729547,0.2577566625064017,0.9937692967093364,2.190178623217469,0.011337897737804527,1.4589803196500304,0.9806757970232015,0.10942645083765379,5.101928633783173e-07,0.9942796849970701,20260415::linker2-paa-.500nm.spm - NanoScope Analysis.txt,20260415,linker2-paa-.500nm.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,500.0,,410.1436239421748,78.16240477655394,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
187,371.08145911983104,75.88616118239031,0.14533045301460856,0.9476740776982707,0.25077694252158284,0.9952046876149602,1.7255636194595418,0.02286449651996531,1.364847921676092,0.9857176805150344,0.1374679308924579,5.303212365956295e-07,0.9922169739438893,20260415::linker2-paa-.300nm-2.spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-2.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,371.08145911983104,75.88616118239031,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
179,219.13667134250892,27.570602437589194,0.08149889568526915,0.9339904487678256,0.1753333662338281,0.9871723507117952,2.151358797681469,0.00847828837953489,1.4941395695425748,0.9675598440498913,0.07097450963242319,1.2306316864863823e-06,0.9933756861965305,20260415::linker2-paa-.300nm-4spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-4spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,219.13667134250892,27.57060243758919,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
189,227.34014743843682,25.2179309423325,0.08604803779241813,0.9148698536354228,0.12158092489549496,0.970316069411447,1.412942444879408,0.008617129543432802,1.4762930300803547,0.9238253823787147,0.07760484654978553,6.682370231656695e-07,0.9878252496307944,20260415::linker2-paa-.300nm-7.spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-7.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,227.3401474384368,25.2179309423325,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
189,235.54333704280234,24.870700383862975,0.08587680468019328,0.9290175251754277,0.13702491380856982,0.9746666001761368,1.5955986522653351,0.0034799158385593445,1.6489074403831627,0.9464080572985009,0.07062560018358607,7.411415596740371e-07,0.9865376244252548,20260415::linker2-paa-.300nm-6.spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-6.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,235.5433370428023,24.870700383862975,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
177,217.96529694011605,24.337187692530094,0.04429619704675345,0.8443114706753254,0.1825436158667453,0.9838685223260272,4.120977150116869,0.0018630123334050742,1.7230984387749102,0.8338985125239899,0.039601190537692475,1.6027335796685437e-06,0.9911659874593302,20260415::linker2-paa-.300nm-3.spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-3.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,217.96529694011605,24.337187692530097,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
191,242.57499249138172,22.677418590084002,0.0458936058774619,0.8892387524412056,0.15672013252977898,0.9754101007563787,3.414857680789545,0.0010298742599595004,1.8016643284165936,0.90585379708164,0.03188291549197825,1.0164831696032052e-06,0.9936251576883007,20260415::linker2-paa-.300nm-10.spm - NanoScope Analysis.txt,20260415,linker2-paa-.300nm-10.spm - NanoScope Analysis.txt,linker2-paa,linker2,linker2,paa,300.0,,242.57499249138172,22.677418590084,0,0,,0.0,apparent/comparative; DDESP-V2 k80 uses blunt-tip geometry
